date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-jan-2019,0,0.200,0,9.8,0,9.2, , 
02-jan-2019,0,0.000,0,8.6,0,6.0, , 
03-jan-2019,0,0.000,0,8.2,0,6.2, , 
04-jan-2019,0,0.000,0,6.6,0,5.8, , 
05-jan-2019,0,0.000,0,9.5,0,1.7, , 
06-jan-2019,0,0.000,0,11.8,0,3.4, , 
07-jan-2019,0,0.000,0,11.7,0,7.7, , 
08-jan-2019,0,0.000,0,9.2,0,6.6, , 
09-jan-2019,0,0.800,0,9.2,0,5.2, , 
10-jan-2019,0,0.400,0,10.9,0,5.3, , 
11-jan-2019,0,0.600,0,10.1,0,8.2, , 
12-jan-2019,0,0.000,0,10.6,0,8.2, , 
13-jan-2019,0,0.400,0,11.3,0,8.2, , 
14-jan-2019,0,0.000,0,9.1,0,7.1, , 
15-jan-2019,0,0.200,0,10.2,0,7.2, , 
16-jan-2019,0,0.400,0,8.1,0,6.1, , 
17-jan-2019,0,0.700,0,5.5,0,1.4, , 
18-jan-2019,0,0.000,0,9.7,0,1.4, , 
19-jan-2019,0,0.700,0,7.9,0,5.2, , 
20-jan-2019,0,0.100,0,7.8,0,5.5, , 
21-jan-2019,0,1.600,0,7.4,0,1.2, , 
22-jan-2019,0,0.000,0,5.0,0,1.9, , 
23-jan-2019,0,0.500,0,6.4,0,0.9, , 
24-jan-2019,0,1.900,0,10.6,0,2.2, , 
25-jan-2019,0,0.000,0,11.3,0,6.4, , 
26-jan-2019,0,3.000,0,11.6,0,8.4, , 
27-jan-2019,0,0.000,0,6.8,0,3.1, , 
28-jan-2019,0,0.400,0,7.2,0,1.4, , 
29-jan-2019,0,1.900,0,4.7,0,1.5, , 
30-jan-2019,0,0.700,0,4.2,0,0.0, , 
31-jan-2019,0,2.300,0,4.6,1,-2.7, , 
01-feb-2019,0,0.100,0,4.8,0,2.1, , 
02-feb-2019,0,0.000,0,6.2,1,-0.3, , 
03-feb-2019,0,0.500,0,10.0,1,-0.1, , 
04-feb-2019,0,0.000,0,10.0,0,5.4, , 
05-feb-2019,0,1.800,0,13.4,0,1.5, , 
06-feb-2019,0,7.200,0,11.4,0,6.2, , 
07-feb-2019,0,1.900,0,11.8,0,2.1, , 
08-feb-2019,0,2.500,0,11.3,0,4.9, , 
09-feb-2019,0,0.600,0,9.9,0,6.0, , 
10-feb-2019,0,1.700,0,7.6,0,2.6, , 
11-feb-2019,0,0.000,0,10.4,0,2.6, , 
12-feb-2019,0,0.000,0,13.1,0,4.4, , 
13-feb-2019,0,0.000,0,12.4,0,10.0, , 
14-feb-2019,0,0.000,0,14.3,0,5.8, , 
15-feb-2019,0,0.000,0,16.4,0,4.4, , 
16-feb-2019,0,0.300,0,12.9,0,8.2, , 
17-feb-2019,0,0.000,0,12.7,0,8.5, , 
18-feb-2019,0,0.100,0,10.4,0,6.6, , 
19-feb-2019,0,0.300,0,11.6,0,5.5, , 
20-feb-2019,0,0.000,0,14.3,0,7.0, , 
21-feb-2019,0,0.000,0,14.7,0,11.2, , 
22-feb-2019,0,0.000,0,14.8,0,10.2, , 
23-feb-2019,0,0.000,0,14.4,0,10.1, , 
24-feb-2019,0,0.000,0,11.6,0,5.2, , 
25-feb-2019,0,0.000,0,14.8,0,6.3, , 
